id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000702,30-IC-76,Peugeot,3008,SUV,5,2018,Gasolina,81000,11000,2023-05-14,12200,2023-07-23,Porto
V000703,93-UM-58,Kia,Niro,SUV,5,2017,Híbrido a Gasolina,77000,11200,2023-05-13,12500,2023-09-21,Porto
V000704,46-FR-23,Renault,Zoe,Elétrico,5,2016,100% Elétrico,63000,8500,2023-05-21,9000,2023-08-26,Porto
V000705,71-BB-50,Peugeot,208,Citadino,5,2021,100% Elétrico,27000,12900,2023-05-10,14500,2023-06-02,Porto
V000706,99-VD-52,Seat,Arona,SUV,5,2020,Gasolina,40000,11000,2023-05-12,12900,2023-08-23,Porto
V000707,69-CU-21,Audi,A3,Sedan,5,2018,Gasóleo,80000,11500,2023-05-26,12400,2023-07-18,Porto
V000708,26-KJ-56,Nissan,Qashqai,SUV,5,2019,Gasolina,61000,12100,2023-05-22,13500,2023-08-29,Porto
V000709,22-ZA-28,Hyundai,Kona,SUV,5,2016,100% Elétrico,98000,10900,2023-05-23,,,Porto
V000710,56-LC-19,Seat,Arona,SUV,5,2022,Gasolina,21000,13700,2023-05-28,15000,2023-06-26,Porto
V000711,72-BL-46,Tesla,Model 3,Elétrico,5,2020,100% Elétrico,53000,24100,2023-05-09,28400,2023-06-21,Porto
V000712,43-VB-89,Nissan,Leaf,Elétrico,5,2020,100% Elétrico,56000,13500,2023-05-30,15100,2023-09-24,Porto
V000713,69-VC-54,BMW,X1,SUV,5,2015,Híbrido a Gasolina,97000,10600,2023-05-23,11500,2023-06-22,Porto
V000714,53-TP-37,BMW,Série 1,Hatchback,5,2020,Híbrido a Gasolina,43000,15400,2023-05-15,16400,2023-08-19,Porto
V000715,56-ZN-70,Citroën,C3,Citadino,5,2015,Gasolina,104000,4000,2023-05-02,4300,2023-08-19,Porto
